Symbol,Theme
GPIL,Steel - Primary / Long Products
HITECH,Steel - Primary / Long Products
KIRLFER,Steel - Primary / Long Products
KSL,Steel - Primary / Long Products
TIIL,Steel - Primary / Long Products
JSL,Steel - Stainless / Specialty
MAHSEAMLES,Steel - Stainless / Specialty
MIDHANI,Steel - Stainless / Specialty
BALRAMCHIN,Sugar & Bioenergy
EIDPARRY,Sugar & Bioenergy
TRIVENI,Sugar & Bioenergy
INDUSTOWER,Telecom Operators & Tower Infra
TATACOMM,Telecom Operators & Tower Infra
ARVIND,Textiles
FILATEX,Textiles
GARFIBRES,Textiles
GOKEX,Textiles
ICIL,Textiles
KPRMILL,Textiles
MAYURUNIQ,Textiles
NITINSPIN,Textiles
SANATHAN,Textiles
VTL,Textiles
COALINDIA,Thermal Power
NTPC,Thermal Power
GODFRYPHLP,Tobacco & Nicotine
ITC,Tobacco & Nicotine
VSTIND,Tobacco & Nicotine
IRCTC,Tourism Ecosystem - Discovery & Booking
IXIGO,Tourism Ecosystem - Discovery & Booking
TBOTEK,Tourism Ecosystem - Discovery & Booking
THOMASCOOK,Tourism Ecosystem - Discovery & Booking
YATRA,Tourism Ecosystem - Discovery & Booking
BRIGHOTEL,Tourism Ecosystem - Mobility & Hospitality
GMRAIRPORT,Tourism Ecosystem - Mobility & Hospitality
INDIGO,Tourism Ecosystem - Mobility & Hospitality
ITCHOTELS,Tourism Ecosystem - Mobility & Hospitality
JUNIPER,Tourism Ecosystem - Mobility & Hospitality
SPICEJET,Tourism Ecosystem - Mobility & Hospitality
THELEELA,Tourism Ecosystem - Mobility & Hospitality
TRAVELFOOD,Tourism Ecosystem - Mobility & Hospitality
APOLLOTYRE,Tyres & Rubber
BALKRISIND,Tyres & Rubber
CEATLTD,Tyres & Rubber
JKTYRE,Tyres & Rubber
MRF,Tyres & Rubber
GAIL,Utilities (non-Power)
GSPL,Utilities (non-Power)
GUJGASLTD,Utilities (non-Power)
IGL,Utilities (non-Power)
MGL,Utilities (non-Power)
IONEXCHANG,Water & Environmental Utilities
WABAG,Water & Environmental Utilities
NIITMTS,Workforce & Outsourced Services
SIS,Workforce & Outsourced Services
TEAMLEASE,Workforce & Outsourced Services
