Symbol,Theme
PRINCEPIPE,Plastic Products
SHAILY,Plastic Products
SUPREMEIND,Plastic Products
TIMETECHNO,Plastic Products
TITAGARH,Railways & Defence Manufacturing
ABREL,Realty - Group 1
ANANTRAJ,Realty - Group 1
BRIGADE,Realty - Group 1
DLF,Realty - Group 1
GODREJPROP,Realty - Group 1
LODHA,Realty - Group 1
MAXESTATES,Realty - Group 1
OBEROIRLTY,Realty - Group 1
PHOENIXLTD,Realty - Group 1
PRESTIGE,Realty - Group 1
SHRIRAMPPS,Realty - Group 1
SIGNATURE,Realty - Group 1
SOBHA,Realty - Group 1
ARVSMART,Realty - Group 2
MAHLIFE,Realty - Group 2
NESCO,Realty - Group 2
BPCL,Refineries / Petro-Products
CHENNPETRO,Refineries / Petro-Products
COALINDIA,Refineries / Petro-Products
GMDCLTD,Refineries / Petro-Products
HINDPETRO,Refineries / Petro-Products
MRPL,Refineries / Petro-Products
RELIANCE,Refineries / Petro-Products
DEVYANI,Restaurants
JUBLFOOD,Restaurants
RBA,Restaurants
SAPPHIRE,Restaurants
WESTLIFE,Restaurants
ASHOKA,Roads & Highways
GRINFRA,Roads & Highways
IRB,Roads & Highways
PNCINFRA,Roads & Highways
ENGINERSIN,Shipping
GESHIP,Shipping
GRSE,Shipping
MAZDOCK,Shipping
AARTIIND,Specialty Chemicals - Group 1
AETHER,Specialty Chemicals - Group 1
ATUL,Specialty Chemicals - Group 1
BASF,Specialty Chemicals - Group 1
CLEAN,Specialty Chemicals - Group 1
FLUOROCHEM,Specialty Chemicals - Group 1
JUBLINGREA,Specialty Chemicals - Group 1
PIDILITIND,Specialty Chemicals - Group 1
PRIVISCL,Specialty Chemicals - Group 1
SRF,Specialty Chemicals - Group 1
STYRENIX,Specialty Chemicals - Group 1
SUDARSCHEM,Specialty Chemicals - Group 1
VINATIORGA,Specialty Chemicals - Group 1
VISHNU,Specialty Chemicals - Group 1
CHEMPLASTS,Specialty Chemicals - Group 2
DCMSHRIRAM,Specialty Chemicals - Group 2
FINEORG,Specialty Chemicals - Group 2
GALAXYSURF,Specialty Chemicals - Group 2
NEOGEN,Specialty Chemicals - Group 2
TATVA,Specialty Chemicals - Group 2
AVL,Specialty Retail
BHARTIARTL,Specialty Retail
ETHOSLTD,Specialty Retail
LANDMARK,Specialty Retail
MANYAVAR,Specialty Retail
PVRINOX,Specialty Retail
RAILTEL,Specialty Retail
SAREGAMA,Specialty Retail
IDEA,Telecom Services
ARVIND,Textiles
GARFIBRES,Textiles
GOKEX,Textiles
ICIL,Textiles
KPRMILL,Textiles
MAYURUNIQ,Textiles
NITINSPIN,Textiles
VTL,Textiles
BLUEDART,Transportation - Logistics
DELHIVERY,Transportation - Logistics
GATEWAY,Transportation - Logistics
MAHLOG,Transportation - Logistics
VRLLOG,Transportation - Logistics
IRCTC,Travel Support Services
THOMASCOOK,Travel Support Services
YATRA,Travel Support Services
GAIL,Utilities:non-Electrical
GSPL,Utilities:non-Electrical
GUJGASLTD,Utilities:non-Electrical
IGL,Utilities:non-Electrical
IONEXCHANG,Utilities:non-Electrical
MGL,Utilities:non-Electrical
WABAG,Utilities:non-Electrical
